,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Cyp7b1,2.64,1.23,1.18,1.72,1.97,1.96,2.2,2.84,1.2,0.77,1.18,2.12
Foxp3,0.18,0.07,0.08,0.14,0.06,0.03,0.04,0.06,0.08,0.15,0.05,0.06
Cep104,11.51,6.82,5.74,12.02,8.55,11.22,9.33,11.21,8.05,11.71,13.68,10.53
Atp8b1,0.39,0.28,0.07,0.07,0.07,0.06,0.18,0.7,0.5,0.53,0.28,0.39
Tusc3,50.04,30.55,29.06,43.97,47.13,45.72,39.48,57.03,28.52,41.02,26.85,33.39
Zufsp,10.67,6.86,6.96,10.72,11.67,15.66,12.3,9.72,5.99,9.37,8.13,9.85
Mmd2,0.33,0.34,0.13,0.27,0.18,0.26,0.23,5.4,9.07,12.83,8.93,10.56
Stau1,81.56,60.26,54.21,98.37,56.94,98.81,102.53,84.58,62.31,80.93,93.32,81.04
Sgcz,0.19,0.06,0.12,0.18,0.07,0.06,0.09,0.18,0.18,0.17,0,0.08
4921524L21Rik,0,0,0.02,0,0,0,0,0,0,0,0,0
Ncam1,44.58,20.48,6.77,15.25,8.11,10.05,11.71,43.67,11.29,24.92,14.61,16.24
Cfap70,0.87,0.53,0.55,0.98,1.13,1.47,1.39,0.72,0.19,0.4,0.61,0.91
Ppp1r3fos,0.37,0.35,0.18,0.26,0.45,0.56,0.34,0.57,0.36,0.2,0.39,0.3
Ajap1,4.03,2.61,1.59,1.54,1.88,1.73,1.53,5.69,1.53,1.99,1.78,1.57
Rsph4a,0.44,0.21,0.12,0.21,0.04,0.05,0.11,0.23,0.07,0.03,0.22,0.1
Cylc2,0,0,0,0,0,0,0,0,0,0,0,0
Ppp1r3f,1.84,1.69,1.45,2.12,2.54,4.31,3.81,2.31,1.73,2.08,1.9,1.56
2210406O10Rik,0.06,0.05,0.09,0.14,0.37,0.39,0.37,0.08,0.04,0.38,0.11,0.29
Ubald1,20.47,17.69,17.45,18.93,16.59,15.36,16.72,20.85,18.38,24.31,27.18,23.78
Nphp4,1.89,0.96,0.94,1.25,0.95,1.23,1.46,1.64,1.55,1.64,2.58,2.01
Ccser1,2.72,1.68,1.22,2.85,2.38,3.19,2.66,3.03,0.85,0.96,0.74,0.78
Grin3a,1.3,0.66,0.37,0.77,0.5,0.89,0.81,0.87,0.22,0.44,0.33,0.33
Myo9a,47.27,26.36,15.21,51.92,13.66,114.71,62.31,21.19,22.62,37.66,98.96,47.39
Fam149b,32.38,25.59,31.39,44.41,39.66,44.73,41.14,34.17,32.63,36.46,40.69,38.95
Rcan2,4.55,2.85,1.79,3.8,3.27,3.58,3.05,4.9,1.19,1.9,1.03,1.23
Rbms3,28.21,22.92,6.05,9.18,3.95,7.22,15.71,23.39,8.28,13.11,12.45,14.17
Olfr303,0,0,0,0,0,0,0,0,0,0,0,0
Tmem246,1.85,0.89,1.08,1.72,2.57,2.72,2.47,1.95,1.67,2.27,2.53,2.11
Stub1,85.26,62.49,72.86,93.09,111,76.8,83.08,107.36,77.47,98.88,64.95,82.6
Mocos,0.1,0.06,0.13,0.05,0.11,0.02,0.02,0.03,0.15,0.28,0.21,0.5
Gm7488,50.74,60.87,84.17,89.9,103.74,78.92,117.76,81.41,94.84,65.34,81.5,90.72
6430573F11Rik,2.98,1.54,2.42,4.07,3.7,4.14,4.73,2.93,1.65,2.32,1.93,1.76
Prex1,12.56,8.07,6.26,11.28,5.6,8.14,10.26,12.12,6.16,8.27,9.85,8.43
Ap5z1,3.83,1.9,2,3.29,2.31,2.51,2.28,4.78,1.95,4.35,3.02,4.16
Hs3st6,0.29,0.1,0.16,0.19,0.93,0.56,0.65,0.27,0.05,0.12,0.1,0.13
Strip2,0.34,0.32,0.4,2.1,2.7,10.34,6.66,0.67,0.42,1.15,1.27,1.1
Hnrnpu,136.33,175.8,219.98,118.34,81.74,102.74,427.35,186.03,216.31,132.2,103.49,284.34
Ccdc151,1.34,0.75,0.56,0.49,0.52,0.26,0.4,1,0.31,0.4,0.6,0.39
Lonrf1,8.92,5.8,7.73,15.07,8.3,11.07,11.86,7.97,5.07,6.45,3.8,5.06
Zfp189,6.38,4.43,3.77,6.01,4.09,5.27,6.05,5.62,3.9,4.76,5.93,5.84
Coro7,7.68,9.71,8.08,7.4,7.48,9.49,12.56,16.69,5.99,8.93,5.21,7.34
Kcne1,0.34,0.12,0.63,0.48,0.72,0.26,0.29,0.31,0.57,1.32,0.16,0.08
Mrpl12,52.74,34,39.93,62.52,70.99,45.23,35.74,61.19,40.38,65.32,33.68,34.32
Vasn,17.39,12.71,12.31,15.04,12.44,9.6,14.81,23.71,21.05,22.18,17.92,20.04
Ccbl1,4.78,3.43,3.94,5.65,5.09,5.2,4.12,6.44,4.1,6.1,7.1,5.36
Cpeb3,1.77,1.48,2.07,4.41,3.06,6.64,7.54,1.2,1.01,1.78,2.04,2.19
Baat,0.1,0.12,0.09,0.05,0.05,0.03,0.07,0.22,0.1,0.26,0.11,0.13
Rxrb,33.17,21.88,17.41,34.65,28.86,25.6,25.33,33.15,19.61,32.48,23.51,26.5
D2Wsu81e,26.56,18.63,19.9,26.88,22.76,18.46,19.67,32.54,26.44,29.74,24.43,31
Dusp26,0.26,0.22,0.25,0.13,0.34,0.28,0.22,0.41,0.69,0.48,2.18,0.8
Icmt,10.78,6.86,6.31,11.35,8.77,8.88,10.59,12.08,8.5,10.65,7.46,9.1
Oxld1,4.42,3.11,4.7,5.8,7.73,4.34,6.03,5.32,2.95,2.77,2.9,3.28
Zmynd8,55.09,34.34,22.83,39.73,20.43,25.54,41.6,46.31,24.18,34.44,35,39.22
Kcne2,0.03,0.02,0.51,0.2,0.24,0.16,0.17,0.11,0,0.06,0.05,0.04
Capsl,1.19,0.58,0.77,0.98,1.44,0.89,0.77,1.19,0.44,0.72,3.4,1.64
Tbc1d13,36.92,15.72,16.6,36.88,17.42,23.84,18.59,41.88,14.19,27.56,11.67,13.74
Mrps6,40.17,28.22,36.8,50.17,55.82,38.11,33.51,51.6,42.2,59.41,65.85,60.94
Lap3,48.79,32.5,38.27,76.67,51.4,53.71,34.93,56.35,43.04,67.04,89.84,49.53
Sdk1,3.08,1.81,1.11,4.23,2.2,7.07,7.13,2.48,1.32,3.04,2.49,2.7
Gm5422,0.35,0.22,0.38,0.67,0.49,0.78,0.43,0.57,0.41,0.6,0.62,0.53
Zer1,15,8.57,7.38,12.32,8.09,9.51,10.9,15.01,8.14,13,12.15,9.77
Tspan10,0,0.05,0,0.03,0,0,0,0,0,0.03,0,0
Msantd3,28.79,24.65,28.61,40.99,34.95,43.2,42.93,29.71,32.4,33.58,37.21,40.49
Ncoa7,14.79,11.68,7.84,10.73,5.69,7.68,10.43,14.05,8.4,12.69,11.54,12.19
Batf2,0,0.06,0.02,0.04,0.05,0,0,0.03,0,0,0.21,0.16
Usp53,11.5,8.08,6.23,11.6,5,10.36,13.78,18.07,9.48,19.24,12.82,13.23
Nploc4,32.78,25.49,26.26,47.35,38.13,45.09,46.56,37.42,28.42,39.19,41.48,41.72
Lmbrd2,6.64,4.3,1.64,6.26,1.22,6.54,9.34,4.89,3.69,6,7.03,8.94
Ldb2,66.17,36.79,21.82,41.48,23.81,39.21,36.99,55.85,34.13,66.32,70.95,66.06
Slc7a12,0.03,0,0,0,0,0,0,0,0,0,0,0
Plekhg5,8.83,5.46,5.53,10.75,4.58,5.54,6.63,8.79,6.75,8.76,6.12,7.11
Cplx3,0.06,0,0.01,0,0.01,0.02,0,0.06,0.04,0,0,0.03
Wdr34,10.95,7.49,11.77,12.49,15.18,14.84,16.32,12.95,10.33,13.42,10.6,15.55
Dock3,1.18,0.62,1.66,6.45,5.85,13.58,15.36,0.93,1.85,2.75,18.26,5.32
Ralyl,0.08,0.01,0,0,0.14,0.04,0,0,0,0,0.03,0
Got1l1,1.58,0.94,3.8,7.57,6.39,4.24,3.04,1.92,1.46,2.1,1.23,1.84
2810408M09Rik,10.49,7.46,8.99,14.85,13.06,11.26,10.43,13.05,9.12,11.5,7.91,9.01
Slc6a5,0.18,0.07,0.14,0.09,0.03,0.04,0,0.11,0.08,0.17,0.01,0.04
Fnbp1l,112.18,119.93,56.41,100.58,38.68,92.29,158.8,106.47,102.12,98.3,138.45,134.21
Prkrip1,44.99,50.59,52.41,45.49,56.12,52.4,62.4,47.69,59.26,45.75,55.02,51.42
Slx4,22.9,17.57,12.51,21.34,8.98,17.8,23.11,21.94,16.28,22.3,37.19,28.92
Alg2,44.46,30.43,26.75,43.18,30.5,34.59,33.37,51.86,23.76,35.51,30,30.63
Bahcc1,36.36,22.93,21.06,28.95,19.08,19.02,21.2,38.78,16.45,26.5,13.42,14.92
Fam71f1,0.71,0.73,0.13,0.12,0.09,0.15,0.11,0.93,0.1,0.12,0.21,0.12
Htatip2,2.62,1.91,3.03,3.32,3.96,3.27,3.22,3.23,2.72,3.5,2.51,2.44
Orai2,3.73,2.2,1.88,3.28,2.42,1.97,2.43,3.25,1.95,2.65,2.16,2.47
Exo1,27.91,38,44.53,37.22,27.8,27.47,48.23,37.79,58.23,44.73,17.48,34.09
Fbxl5,49.98,28.91,42.26,78.52,57.67,86.13,96.94,53.7,40.26,59.37,39.34,48.53
Alkbh4,6.43,3.99,5.06,5.92,6.55,3.69,4.61,6.93,4.45,5.06,3.41,4.1
Dnttip2,92.67,71.19,79.52,143.31,134.32,124.48,96.56,102.7,109.9,133.59,192.16,145.02
Thap3,7.22,6.81,7.96,6.66,9.15,5.76,6.66,7.43,6.41,5.78,5.88,6.19
Il22ra2,0.06,0.01,0.03,0.04,0,0,0,0,0.05,0.02,0,0.01
Dnajc28,7.18,6.22,5.32,10,6.17,6.62,7.72,7.93,3.63,6.02,5.68,5.56
Cc2d2a,15.98,10.21,7.97,13.89,7.33,9.43,11.5,15.43,7.21,10.81,10.42,8.52
Dnajc11,74.11,53.51,47.73,74.33,55.16,43.32,68.27,79.21,60.28,64.75,35.9,51.9
Ypel5,23.55,18.99,25.34,27.57,34.76,36.02,38.91,23.66,18.31,23.39,28.23,27.93
Polr2j,85.23,53.27,75.5,99.25,152.38,128.71,83.35,91.77,64.99,89.28,52.4,71.72
Galnt12,1.49,0.79,1.66,3.16,4.43,4.74,4.29,1.63,1.31,2.21,2.63,1.65
Defb3,0,0,0,0,0,0,0,0,0,0,0,0
Cep131,54.11,38.83,34.52,55.58,49.52,46.62,45.12,60.38,35.39,42.13,42.42,37.05
Cpeb2,5.96,5.33,4.84,9.23,5.12,16.78,15.3,4.66,5.29,8.01,5.79,6.36
Kmo,0.09,0.07,0.03,0.03,0.03,0.09,0.02,0.05,0.05,0.01,0.05,0.06
Defb5,0,0,0,0,0,0,0,0,0,0,0,0
Cercam,10.41,5.56,9.45,18.49,18.05,16.42,14.98,12.32,14.49,26.5,11.15,14.85
Zfp597,8.95,6.14,4.89,9.73,9.84,13.64,17.57,9.18,9.56,14.17,17.43,19.16
Zfand1,29.45,17.19,19.55,21.76,22.05,18.77,27.93,32.02,19.65,25.44,15.91,25.24
2600006K01Rik,0.6,0.32,0.72,0.53,0.91,0.55,0.95,0.42,0.34,0.42,0.25,0.25
2410089E03Rik,14.28,7.81,7.57,16.71,7.61,16.84,21.12,12.14,6.81,12.48,19.63,11.92
Ncoa5,48.98,33.61,27.04,42.65,28.67,39.93,42.14,52.63,28.97,42.67,28.06,33.92
Gabbr2,0.03,0.02,0.01,0.03,0.05,0.1,0.07,0.04,0.1,0.17,0.19,0.15
Zc3h10,8.16,5.9,6.74,9.53,11.32,10.29,8.39,8.07,6.93,8.55,12.61,10.72
Tbc1d2,0.47,0.24,0.21,0.53,0.3,0.24,0.3,0.39,0.19,0.44,0.26,0.24
Xkr5,2.77,1.66,0.99,1.42,1.27,1.16,1.21,3.06,1.36,2.6,1.79,1.74
Myl6b,6.42,4.58,6.3,10.8,13.83,13.33,9.71,9.97,3.74,4.73,3.87,3.11
Trub2,26.73,14.33,13.71,24.69,13.4,17.07,16.32,23.99,17.26,25.51,19.16,19.37
Wdr70,17.77,11.49,11.44,17.94,16.43,15.62,17.52,20.7,14.02,18.87,11.76,14.44
Olig2,0,0,0,0,0,0,0,0,0.01,0,0,0
Arhgap29,135.89,99.83,102.1,183.45,117.92,183.67,205.46,113.43,34.9,41.89,35.21,37.96
Zfp335,9.35,6.17,5.67,9.38,5.3,7.07,8.11,8.79,6.71,10.31,9.59,9.46
Nhsl1,11.15,6.47,6.15,11.93,5.27,7.91,8.45,13.19,10.45,18.54,11.79,11.92
Slc45a1,0.03,0.03,0.04,0.18,0.08,0.05,0.04,0.01,0.04,0.07,0.04,0.03
Epg5,3.94,2.39,1.98,3.87,2.17,5.01,5.3,3.76,2.3,3.87,5.13,4.34
Zfp800,11.19,7.94,6.23,14.62,5.37,18.53,20.37,8.71,7.66,10.37,12.21,11.56
Mcph1,10.25,7.21,6.73,13.82,8.75,16.85,12.39,9.89,9.17,12.87,10.86,11.85
Rapgef1,29.31,16.43,13.5,29.78,17.42,23.31,21.72,24.03,15.29,26.27,17.29,18.26
Pcif1,15.35,8.56,9.71,12.99,16.79,14.23,11.52,16.76,8.96,13.32,13.31,10.17
Endov,11.44,10.27,8.89,12.69,9.33,9.21,10.29,14.91,8.97,10.52,11.54,9.45
4932438H23Rik,0.2,0,0.04,0.07,0.09,0.09,0.08,0.12,0,0.09,0.04,0
Rere,63.76,43.2,32.51,59.25,24.49,47.51,53.57,64.76,35.57,66.15,58.53,51.16
Trim14,2.39,1.2,4.32,3.98,2.3,3.29,5.72,0.94,2.43,1.59,1.7,1.51
Srrm3,0.37,0.36,0.08,0.52,0.27,0.14,0.19,0.54,0.05,0.11,0.16,0.08
Slc44a3,0.75,0.65,1.1,1.38,1.14,0.77,1.35,1.27,0.91,1.31,0.81,1.1
Neurl2,3.14,1.51,1.63,2.4,1.99,1.36,1.4,2.77,1.39,1.91,1.45,1.05
Slc39a5,1.04,0.94,0.18,0.11,0.04,0.05,0.07,1.09,0.02,0,0.04,0.02
Heca,19.03,13.5,11.4,25.39,11.09,21.38,23.33,19.07,11.62,20.46,22.99,20.38
Lrrc17,5.83,3.28,4.61,6.79,9.64,10.58,9.06,5.7,5.76,7.48,13.35,8.63
Tmem120a,9.37,8.08,11.52,15.04,13.77,10.9,10.68,12.33,7.03,7.2,12.59,9.12
Alg14,12.89,8.78,8.04,9.96,10.14,9.32,8.61,12.3,8.6,10.84,15.9,11.89
Txlnb,1.66,1.13,1.25,1.46,0.82,1.12,1.38,1.54,0.63,0.9,0.89,0.82
Fgl2,0.76,0.55,0.52,0.66,0.36,0.6,0.94,0.44,0.13,0.28,0.35,0.42
9130011E15Rik,17.83,12.92,13.74,22.13,13.75,18.41,18.82,16.12,10.77,14.53,16.53,18.81
Eva1c,0.6,0.43,1.34,1.03,0.66,0.28,0.24,0.6,0.26,0.15,0.2,0.1
Gpr37,17.15,11.77,13.02,14.4,7.49,6.75,7.91,31.47,12.92,18.06,10.13,14.22
Slc26a11,6.15,3.89,2.95,4.91,4.1,2.5,3.62,8.86,2.81,4.8,2.49,2.96
Cited2,44.33,29.55,27.11,31.58,29.07,24.84,31.16,42.49,23.2,33.58,36.76,39.24
Spsb1,4.03,2.14,1.09,1.65,2.83,3.06,3,3.98,2.59,3.24,2.87,2.79
Pak7,0.94,0.49,0.28,0.57,0.3,0.23,0.43,1,0.27,0.33,0.27,0.17
Coq10a,3.02,1.44,2.84,5.15,7.53,6.07,4.79,3.09,1.36,2.39,1.71,1.83
Rhbdd2,10.06,6.14,6.18,8.18,7.3,9.7,8.34,11.88,5.28,7.79,5.22,6.39
Urb1,6.9,3.96,5.75,12.51,5,9.26,12.03,5.59,7.46,10.08,18.4,12.83
Gsap,1.74,2.01,1.85,1.4,0.75,1.17,1.82,2.14,0.82,0.82,0.66,1.32
Pik3cd,8.59,6.78,8.85,13.81,5.54,5.93,6.75,8.69,19.27,24.79,43.38,33.34
Ptger4,3.49,1.88,0.58,0.43,0.19,0.25,0.36,3.23,0.44,0.85,0.57,0.75
Plcb4,17.31,11.19,11.72,22.94,12.36,19.95,26.34,16.62,19.35,26.25,32.87,24.44
Dag1,118.99,84.23,67.49,132.24,58.91,94.75,99.33,114.99,78.93,116.93,103.44,93.61
Clstn1,35.85,22.57,20.37,43.01,25.13,31.59,36.3,31.27,16.99,25.87,25.89,24.06
Stk32a,0.32,0.19,0.17,0.41,0.17,0.35,0.32,0.26,0.69,1.39,2.5,3.05
Mrap,1.31,0.29,0.95,1.52,3.38,1.6,2.56,0.58,1.02,1.83,4.07,5.45
Mettl20,22.4,14.09,17.9,23.64,20.34,23.1,21,27.43,12.46,17.62,17.64,18.76
Hip1,38.4,19.43,9.44,19.89,10.52,14.47,18.61,35.03,13.59,26.96,23.68,25
Rhou,40.32,24.46,24.14,42.62,31.85,24.46,25.9,50.51,23.86,38.69,28.48,34.12
Olfr906,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc40,5.13,5.83,2.7,4.64,3.02,1.95,2.36,5.44,1.31,2.25,1.77,0.82
Zfp292,44.4,23.46,15.27,39.27,11.69,27.02,34.51,35.95,15.03,28.82,31.04,26.12
Rsbn1l,16.42,10.85,10.78,17.58,10.01,16.12,19.92,15.09,11.69,17,16.92,18.58
Tbc1d16,16.14,9.04,7.08,13.62,9.04,9.84,10.05,15.78,6.42,10.07,8.22,8.06
Ccdc67,0.08,0.31,0.37,0.43,0.82,1.68,0.93,0.31,0.09,0.14,0.14,0.08
Zc3h12d,0.24,0.17,0.06,0.18,0.14,0.08,0.07,0.26,0.05,0.14,0.05,0.04
Dtx4,3.99,2.18,1.63,4.06,3.76,4.69,4.79,4.99,6.69,9.21,16.15,13.92
Ccdc32,8.92,5.54,6.05,8.11,8.26,6.85,7.13,8.35,5.37,8.01,5.93,6.16
Fam60a,138.77,113.71,71.76,132.13,52.39,70.21,82.91,143.32,107.26,141.09,125.23,123.73
Phtf2,15.43,14.39,14.94,26.91,12.3,20.5,24.66,15.12,16.45,20.75,24.23,24.27
Ankrd13c,33.08,21.69,18.61,31.51,15.15,23.75,32.81,37,16.47,23.72,23.46,20.57
Cbx4,9.49,8.45,7.65,12.91,10.35,11.07,11.57,11.55,10.67,13.92,13.34,9.71
Edrf1,19.09,17.47,22.74,36.83,22.79,35.85,47.09,21.29,22.83,24.16,21.03,23.74
Timeless,70.04,37.01,39.34,70.89,55.59,54.72,52.57,75.26,48.17,62.97,45.69,49.26
Ifi203,0.74,0.3,0.31,0.27,0.44,0.5,0.35,0.99,0.18,0.37,0.67,0.35
Magi2,3.67,3.02,5.43,11.16,5.67,8.51,13.11,3.66,1.11,1.44,1.31,1.4
Ginm1,31.72,29.98,30.64,39.17,33.73,34.08,34.41,34.73,36.25,46.02,53.33,49.34
Bahd1,11.4,8.75,12.68,19.53,15.76,16.77,16.94,8.56,10.6,12.62,13.71,12.36
Gnaz,3.7,2.7,5.02,8.76,8.47,8.95,9.13,2.83,2.92,4.32,7.19,4.74
Slc7a5,16.31,10.16,13.05,18.96,11.82,11.99,11.93,18.66,19.55,23.64,31.96,22.69
Fkbp6,17.64,12.63,40.96,72.98,114.83,144.32,85.62,15.64,19.71,27.92,102.38,43.53
Ptger3,0.47,0.2,0.44,0.85,1.67,1.63,2.21,0.33,0.08,0.32,0.29,0.17
Saa4,0,0,0.01,0,0,0,0.02,0,0,0,0,0
Cox15,10.23,8.39,10.18,13.96,10.49,11.23,14.79,12.89,10.6,10.89,10.88,13.76
Lats1,14.86,9.27,6.79,12.1,5.65,10.08,13.59,14.73,8.51,13.83,11,11.77
Rab11fip2,46.15,24.43,15.66,42.58,11.89,27.47,33.61,33.99,7.84,13.07,11.29,12.01
Ythdf2,57.99,41.03,53.3,75.68,59.1,61.5,132.35,70.18,55.24,61.66,29.79,68.89
Saa3,0.13,0.07,0,0,0.77,0,0.11,0,0.08,0,0.1,0.15
Elavl1,35.14,18.7,21.24,36.75,27.87,29.7,31.72,35.52,20.32,33.89,24.73,29.28
Ipo8,27.88,23.6,20.82,33.26,15.99,25.7,52.49,26.16,25.68,28.67,43.92,50.84
Stat2,7.99,4.91,5.29,8.38,6.04,5.39,7.18,8.72,4.22,6.57,6.41,6.46
Nup43,26.51,15.46,23.92,37.47,31.26,29.51,24.94,33.31,25.14,38.02,23.92,31.23
Disp2,0.24,0.07,0.02,0.11,0.07,0.19,0.17,0.1,0.03,0.05,0.05,0.05
Negr1,5.39,3.75,1.09,1.46,0.86,0.7,0.96,4.94,1.26,1.92,1.72,2.07
Ift88,22.12,12.87,13.34,26.48,14.11,25.87,23.86,24.07,13.14,22.13,26.12,22.76
Rbms2,41.11,30.19,29.09,40.48,30.82,33.08,35.84,38.11,32.73,44.72,52.91,54.87
Orc3,71.83,42.3,46.33,80.77,63.09,82.22,67.55,77.11,50.42,86.05,57.62,70.73
Tph1,0.05,0.05,0.07,0.09,0.08,0.14,0.05,0.11,0.03,0.24,0.8,0.14
Ndufb10,148.88,168.22,203.83,149.85,248.65,162.31,205.66,168.68,203.73,164.85,182.43,230.61
Baz2a,32.86,21.35,21.84,45.22,22.11,46.33,42.07,28.99,25.23,39.45,56.74,40.65
Gjb6,0,0,0,0.03,0.04,0,0.06,0.02,0.22,0,0.05,0.04
Plcb2,2.17,1.41,2.41,3.75,1.76,1.5,2.73,3.62,7.93,13.31,3.65,7.05
Pfpl,0,0,0,0,0,0,0,0,0,0.01,0,0
Gm9769,395.5,275.29,297.82,682.49,494.18,536.28,435.63,360.34,372.57,455.56,603.51,439.77
Bub1b,63.12,51.07,35.27,51.61,28.65,41.5,55.68,56.59,66.32,73.74,88.14,85.3
Tnni3k,0,0,0,0,0,0,0,0,0,0,0,0
Bmf,13.4,7.99,5.23,10.98,6.17,5.97,6.21,11.09,2.89,5.01,5.68,6.81
Flywch1,23.73,16.61,13.15,21.14,15.65,14.77,14.05,23.5,15.4,22.41,27.94,18.61
Klhl42,3.33,1.83,2.21,2.97,2.29,2.5,2.96,3.29,1.62,3.17,2.18,2.69
Ppapdc2,4.63,4.02,3.04,4.97,3.76,4.12,3.69,5.12,1.91,2.98,1.8,2.71
Gramd1b,8.29,5.91,4.27,5.09,4.9,6.03,7.42,9.77,10.87,21.04,29.95,34.29
Mrps35,78.27,83.8,106.55,100.89,116.26,85.5,120.73,95.04,103.97,89.8,66.02,92.21
Mettl11b,0,0,0,0.03,0,0,0,0,0.04,0,0,0.09
Cacna2d1,19.46,11.38,6.62,10.93,6.8,8.15,9.93,18.09,7.33,13.38,13.42,12.9
Rep15,0.92,0.53,0.32,0.06,0.32,0.3,0.2,1.09,0.49,0.27,0.42,0.34
Zmym5,31.64,29.31,30.32,46.92,26.41,46.41,49.8,34.6,34.62,38.41,69.92,60.43
Gorab,13.7,8.83,8.53,12.81,10.54,17.44,13.82,12.21,9.62,13.72,11.98,13.69
Gpr26,0,0,0,0,0,0,0,0,0,0,0,0
Sdr9c7,0.14,0.05,0.05,0.02,0.04,0,0.07,0.21,0.12,0.36,0.05,0.13
Pnrc1,81.68,70.85,79.7,86.57,84.54,80.42,70.48,82.28,60.3,72.13,66.32,65.41
Svs2,0,0,0,0,0,0,0,0,0,0,0.03,0
Gpr176,0.07,0.09,0.01,0.16,0.13,0.29,0.3,0.07,0.02,0.03,0.13,0.02
Rdh7,0.06,0,0.03,0,0,0,0,0.03,0.49,0.63,0.04,0.19
Abcc8,0.08,0.03,0.15,0.18,0.18,0.19,0.15,0.03,0.12,0.07,0.28,0.06
Ndp,0.37,0.29,0.05,0.17,0.07,0.08,0.21,0.47,0.21,0.39,0.89,0.9
9430038I01Rik,7.9,9.39,10.83,12.57,12.24,8.89,8.8,11.01,9.78,10.24,7.89,8.86
Tdrd6,0.07,0.05,0.03,0.02,0.13,0.03,0.04,0.07,0.03,0.11,0.11,0.06
Rgl3,1.87,0.89,0.83,0.92,1.15,1.14,1.1,1.38,0.41,0.45,0.41,0.47
Maob,3.64,2.98,4.69,6.22,4.41,5.02,4.66,3.83,1.84,1.91,3.47,2.59
Hmx3,0.07,0.06,0.04,0.08,0,0.11,0.09,0,0,0,0.03,0
Hs2st1,19.91,12.79,9.66,17.2,10.61,12.5,14.24,20.85,10.76,16.63,11.61,13.9
Thbs1,5.94,2.99,1.84,2.57,1.93,3.79,4.9,6.76,4.86,8.48,5.87,5.56
Wfdc5,0,0,0,0.02,0,0,0,0,0,0,0.02,0
Tax1bp3,59.71,31.77,28.55,46.88,46.75,39.35,32.52,70.1,28.86,61.88,27.48,37.33
1700034J05Rik,0.02,0,0,0,0,0,0,0,0,0,0,0
Kcns1,0.08,0,0.04,0.06,0.25,0.24,0.19,0,0.02,0.02,0.99,0.19
Cd209c,0.13,0.08,0.11,0.07,0.49,0.63,0.35,0.08,0,0.06,0.39,0.14
Ikzf5,17.63,11.46,8.87,16.77,9.52,19.21,20.23,16.8,8.98,12.32,11.31,12.61
Fmo2,0.27,0.03,0.17,0.18,0.19,0.35,0.13,0.07,0,0.18,0.14,0.22
Alkbh3,22.56,16.13,16.3,15.23,14.89,14.3,17.69,26.48,15.8,17.34,10.66,15.99
2310057M21Rik,7.57,5.55,9.01,11.21,10.33,11.01,10.53,7.66,7.73,9.98,8.93,9.72
Fmo1,5.86,2.49,2.19,3.77,4.98,5.55,6.42,3.19,0.24,1,2.27,2.35
Ankrd6,7.15,4.21,3.17,6.52,3.92,4.7,4.81,7.24,3.02,4.49,3.86,3.2
Arntl2,0.28,0.47,1.12,3.75,1.04,1.85,1.31,0.82,0.73,1.38,3.02,2.46
Scamp2,12.42,7.11,7.55,12.97,12.01,9.37,9.88,15.99,7.77,12.64,10.33,11.74
Ccdc114,6.9,4.05,4.1,6.37,5.8,5.14,4.79,7.27,1.95,4.15,2.88,2.54
Tmem194,12.87,7.26,5.97,12.29,8.24,10.98,9.58,12.36,6.81,11.7,18.25,12.49
Cd209e,0.03,0.02,0,0,0,0,0,0,0,0,0,0
2810417H13Rik,139,86.11,48.93,62.29,53.56,51.91,44.93,132.44,88.48,125.12,119.88,109.36
Cuzd1,0.06,0.01,0.95,0.05,0.09,0.07,0.02,0.04,0.05,0.04,0.1,0.03
Zfp704,20.38,11.79,7.83,10.81,6.1,8.48,12,17.49,9.6,14.78,12.44,13.69
Emp3,53.62,30.72,43.36,59.36,96.33,53.61,49.71,56.33,38.77,61.68,49.75,45.75
Ccbl2,55.93,34.7,44.42,64.95,53.48,42.91,43.56,41.02,9.94,13.22,14.37,9.99
Gm6369,0,0,0,0,0,0,0,0,0,0,0,0
Ttc12,2.94,1.57,1.06,1.83,1.8,2.34,1.81,2.69,1.11,1.52,2.25,2.37
Gas8,30.9,28.77,25.69,30.75,28.63,24.33,30.69,34.93,25.62,30.06,51.36,31.72
Prrc2c,207.36,107.18,66.98,158.66,49.28,99.8,163.19,165.74,99.79,204.62,199.71,145.63
Gpr34,1.1,0.7,0.36,0.37,0.33,0.62,0.38,0.82,0.21,0.37,0.25,0.28
Syngr4,0.17,0.56,3.07,3.96,10.26,12.8,9.3,0.93,1.07,1.03,0.73,1.16
Tm7sf3,15.66,9.94,15.87,32.05,18.84,20.62,32.5,16.47,10.23,13.83,11.24,16.36
Trappc5,20.4,14.79,17.53,23.19,24.26,18.17,20.47,22.17,17.81,21.5,16.84,21.32
Fgfr1op2,61.9,54.02,69.47,87.08,98.55,124.59,103.58,65.78,50.41,67.17,61.21,57.35
Tbc1d10c,0.38,0.39,0.27,0.6,0.51,0.3,0.46,0.68,0.39,0.43,0.49,0.44
Lrp1,112.83,56.08,40.55,44.35,34.66,31.91,52.34,131.13,57.17,120.97,59,38.78
