"","x"
"1165","Kctd11"
"1166","Kctd20"
"1167","Kctd21"
"1168","Kdm3b"
"1169","Kdm4a"
"1170","Kdm4b"
"1171","Kdm8"
"1172","Khdc4"
"1173","Khnyn"
"1174","Kif11"
"1175","Kif13b"
"1176","Kif14"
"1177","Kif15"
"1178","Kif18a"
"1179","Kif18b"
"1180","Kif19a"
"1181","Kif20a"
"1182","Kif20b"
"1183","Kif21a"
"1184","Kif22"
"1185","Kif23"
"1186","Kif24"
"1187","Kif2c"
"1188","Kif3b"
"1189","Kif3c"
"1190","Kif4"
"1191","Kif5b"
"1192","Kifc1"
"1193","Kifc5b"
"1194","Kirrel"
"1195","Kiz"
"1196","Klc2"
"1197","Klf11"
"1198","Klf12"
"1199","Klhdc1"
"1200","Klhdc2"
"1201","Klhl21"
"1202","Klhl24"
"1203","Klhl36"
"1204","Klk1"
"1205","Knl1"
"1206","Knstrn"
"1207","Kntc1"
"1208","Kpna2"
"1209","Kpna3"
"1210","Kpna6"
"1211","Kpnb1"
"1212","Krba1"
"1213","Kremen1"
"1214","Krt8"
"1215","Kxd1"
"1216","L2hgdh"
"1217","Lama3"
"1218","Lamb2"
"1219","Larp4"
"1220","Lasp1"
"1221","Lats2"
"1222","Lclat1"
"1223","Lcmt1"
"1224","Lcor"
"1225","Ldhb"
"1226","Ldlr"
"1227","Ldlrad3"
"1228","Ldlrap1"
"1229","Lemd1"
"1230","Leng8"
"1231","Leprot"
"1232","Lfng"
"1233","Lig3"
"1234","Lime1"
"1235","Limk1"
"1236","Limk2"
"1237","Lin28b"
"1238","Lipg"
"1239","Lipt1"
"1240","Litaf"
"1241","Lman1"
"1242","Lmbr1"
"1243","Lmf2"
"1244","Lmnb1"
"1245","Lmnb2"
"1246","Lmntd2"
"1247","Lmo4"
"1248","Lnpk"
"1249","Loxl1"
"1250","Loxl3"
"1251","Lpar3"
"1252","Lpcat2"
"1253","Lpin2"
"1254","Lpin3"
"1255","Lrch1"
"1256","Lrch4"
